id,email,favorite_foods
1,liberty.hayes@email.com,"apple pie, hot dog, macaroni and cheese"
2,mallory.spears@email.com,"sushi, fried chicken, pizza"
3,easton.lara@email.com,"enchiladas, apple pie, hamburger"
4,jaslyn.mathews@email.com,"steak, hamburger, hot dog"
5,juliet.erickson@email.com,"poutine, sandwich"
6,laylah.sullivan@email.com,"french fries, ramen, fish and chips"
7,kenzie.underwood@email.com,"sushi, curly fries, chilps"
8,alexandra.raig@email.com,
9,solomon.rollins@email.com,"hot dog, poutine"
10,alisha.mcgrath@email.com,"ramen, spaghetti"
11,jakayla.suarez@email.com,"lasagna, sushi, hamburger"
12,alvaro.mccann@email.com,"pizza, enchiladas, apple pie"
13,derrick.jackson@email.com,"hamburger, hot dog, macaroni and cheese"
14,gina.ball@email.com,"rice, poutine, hot dog"
15,myles.hendrix@email.com,"pizza, ramen, hamburger"
